tconst,titleType,originalTitle,title,startYear,runtimeMinutes,averageRating,numVotes,Main_genre,Sub_genre_1,Sub_genre_2,Directors,birthYear,deathYear,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5
tt0035423,movie,Kate & Leopold,Kate et Léopold,2001,118,6.4,79575.0,Romance,Fantasy,Comedy,James Mangold,1963.0,0.0,Stephen A. Baker,Ted Barela,Cornelius Patrick Byrne,Guy Charbonneau,Pete Corby
tt0043265,movie,The African Queen,La Reine africaine,1951,105,7.7,72241.0,Romance,Drama,Adventure,John Huston,1906.0,1987.0,Theodore Bikel,Jack Cardiff,Angela Allen,Cliff Richardson,Wilfred Shingleton
tt0043278,movie,An American in Paris,Un Américain à Paris,1951,114,7.2,30917.0,Romance,Musical,Drama,Vincente Minnelli,1903.0,1986.0,George Gershwin,Robert Ames,Rodney Bieber,Dino Bolognese,Louise Colombet
tt0043338,movie,Ace in the Hole,Le gouffre aux chimères,1951,111,8.1,32132.0,Film-Noir,Drama,,Billy Wilder,1906.0,2002.0,Kirk Douglas,Charles Griffin,Geraldine Hall,Frank Keith,Walter Newman
tt0043456,movie,The Day the Earth Stood Still,Mission spatiale : Le Jour où la Terre s'arrêta,1951,92,7.7,76693.0,Sci-Fi,Drama,,Robert Wise,1914.0,2005.0,Billy Gray,Glenn Hardy,Gabriel Heatter,Sam Jaffe,Charles Le Maire
tt0043924,movie,A Place in the Sun,Une place au soleil,1951,122,7.8,20512.0,Romance,Drama,,George Stevens,1904.0,1975.0,Montgomery Clift,Lulu Mae Bohrman,Keefe Brasselle,Lois Chartrand,Charles C. Coleman
tt0044079,movie,Strangers on a Train,L'Inconnu du Nord-Express,1951,101,7.9,124368.0,Thriller,Film-Noir,Crime,Alfred Hitchcock,1899.0,1980.0,Ray Heindorf,Gordon Bau,John Brown,Whitfield Cook,Robert Gist
tt0044081,movie,A Streetcar Named Desire,Un tramway nommé désir,1951,122,8.0,100194.0,Drama,,,Elia Kazan,1909.0,2003.0,Vivien Leigh,Kim Hunter,Elia Kazan,Karl Malden,Ann Dere
tt0044121,movie,The Thing from Another World,La chose d'un autre monde,1951,87,7.1,26205.0,Sci-Fi,Horror,,,,,Robert Cornthwaite,Eduard Franz,Edward Lasker,Charles Opunui,Douglas Spencer
tt0044706,movie,High Noon,Le train sifflera trois fois,1952,85,7.9,98271.0,Western,Thriller,Drama,Fred Zinnemann,1907.0,1997.0,Gary Cooper,Floyd Crosby,Emmett Emerson,Carl Foreman,Joe King
tt0044741,movie,Ikiru,Vivre,1952,143,8.3,70023.0,Drama,,,Akira Kurosawa,1910.0,1998.0,Shin'ichi Himori,Hiromichi Horikawa,Isao Kimura,Georges Koger,Teruo Maki
tt0044837,movie,Limelight,Les feux de la rampe,1952,137,8.1,18530.0,Romance,Music,Drama,Charles Chaplin,1889.0,1977.0,Claire Bloom,Sydney Chaplin,Andre Eglevsky,Ray Rasch,Riley Thorne
tt0045061,movie,The Quiet Man,L'homme tranquille,1952,129,7.7,35452.0,Romance,Drama,Comedy,John Ford,1894.0,1973.0,Victor Young,Ward Bond,May Craig,Frank Hotaling,David Hughes
tt0045152,movie,Singin' in the Rain,Chantons sous la pluie,1952,103,8.3,222036.0,Romance,Musical,Comedy,,,,Gene Kelly,Stanley Donen,Nacio Herb Brown,Dorinda Clifton,Betty Comden
tt0045274,movie,Umberto D.,Umberto D.,1952,89,8.2,23396.0,Drama,,,Vittorio De Sica,1901.0,1974.0,Luisa Alessandri,Carlo Battisti,Virgilio Marchi,Roberto Moretti,Ennio Sensi
tt0045555,movie,The Big Heat,Règlement de comptes,1953,89,8.0,24057.0,Thriller,Film-Noir,Crime,Fritz Lang,1890.0,1976.0,Jocelyn Brando,Milton Feldman,Jimmy Gray,Jeanette Nolan,Alexander Scourby
tt0045793,movie,From Here to Eternity,Tant qu'il y aura des hommes,1953,118,7.6,43877.0,War,Romance,Drama,Fred Zinnemann,1907.0,1997.0,Frank Sinatra,Donna Reed,Morris Stoloff,Moana Gleason,Henry Helfman
tt0045810,movie,Gentlemen Prefer Blondes,Les hommes préfèrent les blondes,1953,91,7.2,32268.0,Romance,Musical,Comedy,Howard Hawks,1896.0,1977.0,Harold Adamson,Steve Benton,Marcel Dalio,Josette Deegan,Arthur Dulac
tt0045888,movie,House of Wax,L'Homme au masque de cire,1953,88,7.1,16448.0,Horror,,,André De Toth,1913.0,2002.0,Milton Gunzburg,Mary Lou Holloway,Jean-Pierre Steimer,Milton Gunzburg,Mary Lou Holloway
tt0045891,movie,How to Marry a Millionaire,Comment épouser un millionnaire,1953,95,6.9,20733.0,Romance,Drama,Comedy,Jean Negulesco,1900.0,1993.0,Lida Thomas,Lida Thomas,Zoe Akins,John Van Wormer,Marie Brasselle
tt0045897,movie,I Confess,La loi du silence,1953,95,7.3,19339.0,Thriller,Drama,Crime,Alfred Hitchcock,1899.0,1980.0,Paul Anthelme,O.E. Hasse,Paul Anthelme,O.E. Hasse,William Archibald
tt0046126,movie,Niagara,Niagara,1953,92,7.0,15182.0,Thriller,Film-Noir,,Henry Hathaway,1898.0,1985.0,Richard Allan,Joseph Eger,Audre Monture,Denis O'Dea,Max Showalter
tt0046250,movie,Roman Holiday,Vacances romaines,1953,118,8.0,128764.0,Romance,Comedy,,William Wyler,1902.0,1981.0,Eddie Albert,Franz Planer,Joseph de Bretagne,Gorella Gori,Ian McLellan Hunter
tt0046268,movie,Le salaire de la peur,Le salaire de la peur,1953,131,8.1,55544.0,Thriller,Drama,Adventure,Henri-Georges Clouzot,1907.0,1977.0,Georges Bouban,Henri-Georges Clouzot,Henri Jaquillard,Louis Née,William Robert Sivel
tt0046303,movie,Shane,L'Homme des vallées perdues,1953,118,7.6,37503.0,Western,Drama,,George Stevens,1904.0,1975.0,Alan Ladd,Van Heflin,Loyal Griggs,Helen Brown,John R. Coonan
tt0046359,movie,Stalag 17,Stalag 17,1953,120,8.0,51393.0,War,Drama,Comedy,Billy Wilder,1906.0,2002.0,Peter Baldwin,Donald Bevan,Don English,Peter Graves,Harvey Lembeck
tt0046438,movie,Tôkyô monogatari,Conte de Tokyo,1953,136,8.2,54519.0,Drama,,,Yasujirô Ozu,1903.0,1963.0,Tatsuo Hamada,Yoshiyasu Hamamura,Chieko Higashiyama,Mitsuhiro Môri,Shirô Ôsaka
tt0046478,movie,Ugetsu monogatari,Les contes de la lune vague après la pluie,1953,96,8.3,21308.0,War,Fantasy,Drama,Kenji Mizoguchi,1898.0,1956.0,Ichirô Amano,Takaji Fukui,Kisaku Itô,Tadaoto Kainoshô,Masayoshi Kikuno
tt0046487,movie,Les vacances de Monsieur Hulot,Les vacances de M. Hulot,1953,114,7.4,17061.0,Comedy,,,Jacques Tati,1907.0,1982.0,Pierre Clauzel,Roger Cosson,René Lacourt,Henri Marquet,Pierre Clauzel
tt0046521,movie,I vitelloni,Les inutiles,1953,109,7.9,16547.0,Drama,Comedy,,Federico Fellini,1920.0,1993.0,Franco Fabrizi,Danilo Fallani,Moraldo Rossi,Leonora Ruffo,Enrico Viarisio
tt0046534,movie,The War of the Worlds,La Guerre des mondes,1953,85,7.1,33017.0,Thriller,Sci-Fi,Action,Byron Haskin,1899.0,1984.0,Romaine Birkmeyer,Henry Brandon,Soldier Graham,Cedric Hardwicke,Walter Hoffman
tt0046672,movie,"20,000 Leagues Under the Sea",20.000 lieues sous les mers,1954,127,7.2,29897.0,Family,Drama,Adventure,Richard Fleischer,1916.0,2006.0,James Mason,Adam John Backauskas,Ted de Corsia,Richard Fleischer,Til Gabani
tt0046816,movie,The Caine Mutiny,Ouragan sur le Caine,1954,124,7.7,24631.0,War,Drama,,Edward Dmytryk,1908.0,1999.0,Edward Dmytryk,Fred MacMurray,Jay Richards,Stanley Roberts,May Wynn
tt0046911,movie,Les diaboliques,Les diaboliques,1955,117,8.0,62028.0,Horror,Drama,Crime,Henri-Georges Clouzot,1907.0,1977.0,Armand Thirard,Léon Barsacq,Jean Brochard,Georges Chamarat,Thérèse Dorny
tt0046912,movie,Dial M for Murder,Le crime était presque parfait,1954,105,8.2,160739.0,Thriller,Crime,,Alfred Hitchcock,1899.0,1980.0,Dimitri Tiomkin,Anthony Dawson,Rudi Fehr,Oliver S. Garretson,Robert Garvin
tt0047034,movie,Gojira,Godzilla,1954,96,7.6,30343.0,Thriller,Sci-Fi,Horror,Ishirô Honda,1911.0,1993.0,Shizuko Azuma,Hiroshi Hayashi,Ren Imaizumi,Shigeru Kayama,Kyuichirô Kishida
tt0047136,movie,Johnny Guitar,Johnny Guitar,1954,110,7.7,15911.0,Western,Drama,,Nicholas Ray,1911.0,1979.0,Scott Brady,Frank Ferguson,Mercedes McCambridge,Sheila O'Brien,
tt0047296,movie,On the Waterfront,Sur les quais...,1954,108,8.1,143903.0,Thriller,Drama,Crime,Elia Kazan,1909.0,2003.0,Lee J. Cobb,Leif Erickson,Leonard Bernstein,Richard Day,Jere Delaney
tt0047396,movie,Rear Window,Fenêtre sur cour,1954,112,8.4,449773.0,Thriller,Mystery,,Alfred Hitchcock,1899.0,1980.0,Ross Bagdasarian,Barbara Bailey,Robert Burks,Jesslyn Fax,Rand Harper
tt0047437,movie,Sabrina,Sabrina,1954,113,7.7,60175.0,Romance,Drama,Comedy,Billy Wilder,1906.0,2002.0,William Holden,Billy Wilder,John Williams,Louiguy,James Carlisle
tt0047472,movie,Seven Brides for Seven Brothers,Les sept femmes de Barberousse,1954,102,7.4,21575.0,Musical,Drama,Comedy,Stanley Donen,1924.0,2019.0,Adolph Deutsch,Jack Cummings,Jacques d'Amboise,Dante DiPaolo,Alvord Eiseman
tt0047478,movie,Shichinin no samurai,Les Sept Samouraïs,1954,207,8.6,319925.0,Drama,Adventure,Action,Akira Kurosawa,1910.0,1998.0,Ichirô Chiba,Kôhei Ezaki,Shôichi Hirose,Yoshikazu Kawamata,Yoshio Kosugi
tt0047522,movie,A Star Is Born,Une étoile est née,1954,154,7.6,16213.0,Romance,Musical,Drama,George Cukor,1899.0,1983.0,Judy Garland,Charles Bickford,Jack Carson,Richard Barstow,Lisze Bechtold
tt0047528,movie,La strada,La strada,1954,108,8.0,58981.0,Drama,,,Federico Fellini,1920.0,1993.0,Richard Basehart,Otello Martelli,Lina Caterini,Leo Catozzo,Angelo Cittadini
tt0047573,movie,Them!,Des monstres attaquent la ville,1954,94,7.2,20163.0,Sci-Fi,Horror,,Gordon Douglas,1907.0,1993.0,G.W. Berntsen,Lynn Craft,Mary Alan Hokanson,Don Shelton,Onslow Stevens
